title,artist
Anti-Hero,Taylor Swift
Lavender Haze,Taylor Swift
Maroon,Taylor Swift
Snow On The Beach,Taylor Swift Featuring Lana Del Rey
Midnight Rain,Taylor Swift
Bejeweled,Taylor Swift
Question...?,Taylor Swift
"You're On Your Own, Kid",Taylor Swift
Karma,Taylor Swift
Vigilante Shit,Taylor Swift
Unholy,Sam Smith & Kim Petras
Bad Habit,Steve Lacy
Mastermind,Taylor Swift
Labyrinth,Taylor Swift
Sweet Nothing,Taylor Swift
As It Was,Harry Styles
I Like You (A Happier Song),Post Malone Featuring Doja Cat
I Ain't Worried,OneRepublic
You Proof,Morgan Wallen
"Would've, Could've, Should've",Taylor Swift
Bigger Than The Whole Sky,Taylor Swift
Super Freaky Girl,Nicki Minaj
Sunroof,Nicky Youre & dazy
I'm Good (Blue),David Guetta & Bebe Rexha
Under The Influence,Chris Brown
The Great War,Taylor Swift
Vegas,Doja Cat
Something In The Orange,Zach Bryan
Wasted On You,Morgan Wallen
Jimmy Cooks,Drake Featuring 21 Savage
Wait For U,Future Featuring Drake & Tems
Paris,Taylor Swift
High Infidelity,Taylor Swift
Tomorrow 2,GloRilla & Cardi B
Titi Me Pregunto,Bad Bunny
About Damn Time,Lizzo
The Kind Of Love We Make,Luke Combs
Late Night Talking,Harry Styles
Cuff It,Beyonce
She Had Me At Heads Carolina,Cole Swindell
Glitch,Taylor Swift
Me Porto Bonito,Bad Bunny & Chencho Corleone
Die For You,The Weeknd
California Breeze,Lil Baby
Dear Reader,Taylor Swift
Forever,Lil Baby Featuring Fridayy
Hold Me Closer,Elton John & Britney Spears
Just Wanna Rock,Lil Uzi Vert
5 Foot 9,Tyler Hubbard
Unstoppable,Sia
Thank God,Kane Brown With Katelyn Brown
Fall In Love,Bailey Zimmerman
Rock And A Hard Place,Bailey Zimmerman
Golden Hour,JVKE
Heyy,Lil Baby
Half Of Me,Thomas Rhett Featuring Riley Green
Until I Found You,Stephen Sanchez
Victoriaâ€™s Secret,Jax
Son Of A Sinner,Jelly Roll
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
Romantic Homicide,d4vd
What My World Spins Around,Jordan Davis
Real Spill,Lil Baby
Don't Come Lookin',Jackson Dean
Monotonia,Shakira + Ozuna
Stand On It,Lil Baby
Never Hating,Lil Baby & Young Thug
Wishful Drinking,Ingrid Andress With Sam Hunt
No Se Va,Grupo Frontera
Free Mind,Tems
Not Finished,Lil Baby
Music For A Sushi Restaurant,Harry Styles
Pop Out,Lil Baby & Nardo Wick
Staying Alive,DJ Khaled Featuring Drake & Lil Baby
Poland,Lil Yachty
Whiskey On You,Nate Smith
Billie Eilish.,Armani White
Betty (Get Money),Yung Gravy
2 Be Loved (Am I Ready),Lizzo
Wait In The Truck,HARDY Featuring Lainey Wilson
All Mine,Brent Faiyaz
La Bachata,Manuel Turizo
Last Last,Burna Boy
Glimpse Of Us,Joji
Freestyle,Lil Baby
Calm Down,Rema & Selena Gomez
Gatubela,Karol G x Maldy
Evergreen,Omar Apollo
Pick Me Up,Gabby Barrett
Gotta Move On,Diddy & Bryson Tiller
Perfect Timing,Lil Baby
Country On,Luke Bryan
Snap,Rosa Linn
She Likes It,Russell Dickerson & Jake Scott
Made You Look,Meghan Trainor
Dark Red,Steve Lacy
From Now On,Lil Baby Featuring Future
Forget Me,Lewis Capaldi
Miss You,Oliver Tree & Robin Schulz
Despecha,Rosalia
